ARI,Arizona Diamondbacks,1998-2022,0,,,,,
BOS,Boston Red Sox,1901-2022,0,,,,,
ATL,Atlanta Braves,1876-2022,0,,,,,
LAD,Los Angeles Dodgers,1884-2022,0,,,,,
CHW,Chicago White Sox,1901-2022,0,,,,,
CHC,Chicago Cubs,1876-2022,0,,,,,
CIN,Cincinnati Reds,1882-2022,0,,,,,
CLE,Cleveland Guardians,1901-2022,0,,,,,
COL,Colorado Rockies,1993-2022,0,,,,,
DET,Detroit Tigers,1901-2022,0,,,,,
FLA,Miami Marlins,1993-2022,0,,,,,
HOU,Houston Astros,1962-2022,0,,,,,
KCR,Kansas City Royals,1969-2022,0,,,,,
ANA,Los Angeles Angels,1961-2022,0,,,,,
BAL,Baltimore Orioles,1901-2022,0,,,,,
WSN,Washington Nationals,1969-2022,0,,,,,
SFG,San Francisco Giants,1883-2022,0,,,,,
NYY,New York Yankees,1903-2022,0,,,,,
NYM,New York Mets,1962-2022,0,,,,,
OAK,Oakland Athletics,1901-2022,0,,,,,
PHI,Philadelphia Phillies,1883-2022,0,,,,,
PIT,Pittsburgh Pirates,1882-2022,0,,,,,
SDP,San Diego Padres,1969-2022,0,,,,,
SEA,Seattle Mariners,1977-2022,0,,,,,
MIL,Milwaukee Brewers,1969-2022,0,,,,,
STL,St. Louis Cardinals,1882-2022,0,,,,,
TBD,Tampa Bay Rays,1998-2022,0,,,,,
TOR,Toronto Blue Jays,1977-2022,0,,,,,
MIN,Minnesota Twins,1901-2022,0,,,,,
TEX,Texas Rangers,1961-2022,0,,,,,
